Artist_Name,Artist_Id
"Mau y Ricky",2wkoKEfS6dXwThbyTnZWFU
MAX,1bqxdqvUtPWZri43cKHac8
"Melissa Robles",03Qx159jmT9mvmw5YjzvAs
"Micro TDH",1aWJsBQa67l72j1VT3D6Ow
Migrantes,48R2gYdPKtfnfKAzhSVPUx
"Mike Bahia",1phfTBIocBW3UwqcYjaEN6
"Milo j",19HM5j0ULGSmEoRcrSe5x3
Mora,0Q8NcsJwoCbZOHHW63su5S
Morat,5C4PDR4LnhZTbVnKWXuDKD
"Mozart La Para",0odliLZMTk45CEVzF3Zocl
"Mr. Vegas",1pmixngtBJleMrGUG5o8DE
MYA,5Rj6rNR8zIlUUDCs1OyPmW
"Myke Towers",7iK8PXO48WeuP03g8YR51W
Nacho,2ayNSoKPCRAfjp6hQ76hRu
"NATTI NATASHA",1GDbiv3spRmZ1XdM1jQbT7
"Nego do Borel",1B0Rp4SWGnFgGCPU5Pju6E
"Nicki Minaj",0hCNtLu0JehylgoiP8L4Gh
"Nicki Nicole",2UZIAOlrnyZmyzt1nuXr9y
"Nicky Jam",1SupJlEpv7RS2tPNRaHViT
"Nico Valdi",0uxYECT7XqHNccQAg5Uhe4
"Nio Garcia",5hdhHgpxyniooUiQVaPxQ0
"Olga Lucia Vives",1xtEM6Ynrm8jO1o7rXzP22
Omega,1UjxAZqzphB1tsMb1aWBj0
OneRepublic,5Pwc4xIPtQLFEnJriah9YJ
"Ovy On The Drums",3m5qlPf2OkihLz3dRYnkPA
Ozuna,1i8SpTcr7yvPOmcqrbnVXY
"Pablo Alboran",5M9Bb4adKAgrOFOhc05Y50
Papayo,5F2Bwl7Is7KVwTbNbMclIS
"Pedro Capo",4QVBYiagIaa6ZGSPMbybpy
"Piso 21",4bw2Am3p9ji3mYsXNXtQcd
Pitbull,0TnOYISbd1XYRBk9myaseg
Pitizion,0GWdY55YF6xzN5L1A0X8nq
"Pj Sin Suela",0AdjzZxHJ4MfbImx2rD0Df
Play-N-Skillz,7MP4jhYmFEgb0AtiOkw55s
"Pol Granch",1aMt4A5jrQHxDYyC7rXgV0
"Post Malone",246dkjvS1zLTtiykXe5h60
"Prince Royce",3MHaV05u0io8fQbZ2XPtlC
Ptazeta,5UN0rzL594mWY2RbOtZqIN
"Rauw Alejandro",1mcTU81TzQhprhouKaTkpq
Rayvanny,7G9dCn1mqomAa0ucJoBm6J
Reik,0vR2qb8m9WHeZ5ByCbimq2
"Rels B",2IMZYfNi21MGqxopj9fWx8
Rema,46pWGuE3dSwY3bMMXGBvVS
Residente,5GcWBUX00IPuWVGMIRK1sS
"Ricardo Montaner",4uoz4FUMvpeyGClFTTDBsD
"Ricky Martin",7slfeZO9LsJbWgpkIoXBUJ
"Rochy RD",4riOEaOW5hCeqomFDBk0aP
"Romeo Santos",5lwmRuXgjX8xIwlnauTZIP
ROSALIA,7ltDVBr6mKbRvohxheJ9h1
Rusherking,3Apb2lGmGJaBmr0TTBJvIZ
Rvssian,1fctva4kpRbg2k3v7kwRuS
"Ryan Castro",7j6DKwmjbxvpQO8h914uEz
sangiovanni,7dL0nOHwnSAsNAwpkPSGWP
"Santiago Montesdeoca",7vyGMLTySd09CrshPZLLQ7
"Sean Paul",3Isy6kedDrgPYoTS1dazA9
"Sebastian Yatra",07YUOmWljBTXwIseAUd9TW
Sech,77ziqFxp5gaInVrF2lj4ht
"Selena Gomez",0C8ZW7ezQVs4URX5aX7Kqx
Shakira,0EmeFodog0BfCgMzAIvKQp
"Shawn Mendes",7n2wHs1TKAczGzO7Dd2rGr
Sia,5WUlDfRSoLAfcVSX1WnrxN
"Sky Rompiendo",51XrH5fQP2oIQynuKxSWcW
Snova,5oOyEfGd8NxAKA41zGQhoj
"Snow Tha Product",3p3jPcp8b7WL9XYj4xlsWj
"Sofia Reyes",0haZhu4fFKt0Ag94kZDiz2
"Swae Lee",1zNqQNIdeOUZHb8zbZRFMX
TAICHU,3ou3XMRNmyDSy6gnC1bSgN
Tainy,0GM7qgcRCORpGnfcN2tCiB
Thalia,23wEWD21D4TPYiJugoXmYb
"The Rudeboyz",7ciBW1p3KBsYIkFk4UmwS8
"The Weeknd",1Xyo4u8uXC1ZmMpatF05PJ
"Tiago PZK",5Y3MV9DZ0d87NnVm56qSY1
Tiesto,2o5jDhtHVPhrJdv3cEQ99Z
TINI,7vXDAI8JwjW531ouMGbfcp
Trueno,2x7PC78TmgqpEIjaGAZ0Oz
"Will Smith",41qil2VaGbD194gaEcmmyx
"Willy William",4RSyJzf7ef6Iu2rnLdabNq
Wisin,3E6xrwgnVfYCrCs0ePERDz
"Wisin & Yandel",1wZtkThiXbVNtj6hee6dz9
"Ximena Sarin1ana",7plUpXSFcSJUZSiZAoXqr1
Yandel,0eHQ9o50hj6ZDNBt6Ys1sD
"Yaneth Waldman",49xYVBMRskbDXPIZJZxJwR
"Young Miko",3qsKSpcV3ncke3hw52JSMB
"Zion & Lennox",21451j1KhjAiaYKflxBjr1
zzoilo,7c53ZFyajVMTo08HmvoB6b
